epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,879.562,1.0035,3.55044,1.58923,0.4889,0.34135,0.16179,0.09663,1.35636,7.16354,2.17831,4e-05,4e-05,0.09604
2,1556.09,0.87881,2.36487,1.49023,0.39293,0.31761,0.18253,0.08801,1.43262,7.66077,2.1797,8.9978e-05,8.9978e-05,0.09109
3,2149.97,0.71449,1.94665,1.37678,0.67461,0.21265,0.13903,0.08661,1.2836,7.88689,1.79348,0.000139863,0.000139863,0.0861399
