epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,614.074,0.59107,2.70358,1.26072,0.39736,0.21701,0.11791,0.07195,1.24913,8.70158,1.6831,0.000324561,0.000324561,0.0678684
2,1205.34,0.71033,2.54635,1.32795,0.33145,0.2749,0.24688,0.14047,0.96419,3.18803,1.3908,0.000657734,0.000657734,0.0348683
3,1796.66,0.75151,2.40945,1.36649,0.10993,0.38594,0.13208,0.09894,1.12685,6.50562,1.67666,0.00099026,0.00099026,0.00186745
4,2386.69,0.79654,2.41633,1.39486,0.14747,0.15224,0.13756,0.09788,1.23775,4.00389,1.80166,0.000997803,0.000997803,0.000997803
5,2983.57,0.82907,2.38405,1.41315,0.12175,0.3588,0.16185,0.12901,0.86432,3.00022,1.35893,0.000996097,0.000996097,0.000996097
6,3601.32,0.75205,2.17589,1.37701,0.54385,0.2164,0.19366,0.1235,1.09905,4.23472,1.56701,0.000993906,0.000993906,0.000993906
